candidate_id	candidate	references	source_file_count	likely_structural	sample_locations
matte	Matte	13	12	no	pages/Acetate.md:6; pages/Automask.md:6; pages/Edge Blend.md:6; pages/Element (Compositing Element).md:6; pages/Garbage Matte.md:7
camera-rig	Camera Rig	12	12	no	pages/Downshooter (Animation Stand).md:6; pages/Gantry (Camera Support).md:7; pages/Grip (Crew).md:7; pages/Gyro Stabilizer.md:10; pages/K-rig (camera rig shorthand).md:11
puppet	Puppet	11	11	no	pages/Armature.md:6; pages/Articulation.md:6; pages/Assemblage.md:6; pages/Ball-and-Socket Armature.md:6; pages/Brick Film (Lego Animation).md:6
experimental-animation	Experimental animation	10	10	no	pages/Boil (Animation Boil).md:6; pages/Boiling Line (Hand-Drawn Animation Effect).md:8; pages/Elastic Stop-Motion (Experimental Style).md:6; pages/Kinetic art (animation influence).md:11; pages/Kinetic typography.md:11
optical-printing	Optical Printing	10	9	no	pages/Evaporation Effect (Practical FX).md:6; pages/Fade In ___ Fade Out.md:5; pages/Fade In ___ Fade Out.md:6; pages/Lap dissolve.md:11; pages/Main title (sequence).md:9
replacement-animation	Replacement Animation	10	9	no	pages/Elastic Stop-Motion (Experimental Style).md:6; pages/Expression Control (Rigging___CG).md:6; pages/Expression Control (Rigging___CG).md:11; pages/Hand Puppet.md:7; pages/Head Replacement (Animation Technique).md:10
resolution	Resolution	10	10	no	pages/Alias (Aliasing).md:6; pages/Anti-aliasing.md:6; pages/ATSC Standard.md:6; pages/DPI (Dots Per Inch).md:6; pages/Interference Pattern (Moire).md:11
animation-principles	Animation principles	9	9	no	pages/Arc.md:6; pages/Ease In ___ Ease Out (Animation Curves).md:6; pages/Haptic Feedback (Animation Controls).md:10; pages/Illusion of Life (Disney Principles).md:10; pages/In-Betweening (Tweening).md:10
lensmap	LENSMap	9	6	no	pages/Effective Focal Length (EFL).md:9; pages/Embedded Metadata (EXIF, IPTC).md:5; pages/Embedded Metadata (EXIF, IPTC).md:6; pages/Lens breathing.md:9; pages/Lens test chart.md:8
lip-sync	Lip sync	9	9	no	pages/ADR (Automated Dialogue Replacement).md:6; pages/Animator.md:6; pages/Audio Sync.md:6; pages/Bar Sheet (Exposure Sheet).md:6; pages/Click Track.md:6
white-balance	White balance	9	7	no	pages/Brightness.md:6; pages/Color Balance.md:6; pages/Color Balance.md:11; pages/Color Grading.md:6; pages/Color Model (RGB, CMYK, YUV).md:10
miniature	Miniature	8	8	no	pages/Backlot Set.md:6; pages/Bigature.md:6; pages/Hollywood Flat (Set Construction).md:7; pages/IV (Intravenous Fake Tube, FX).md:11; pages/Kitbash (model___prop building).md:12
persistence-of-vision	Persistence of vision	8	8	no	pages/Afterimage.md:6; pages/Eadweard Muybridge (Historical Reference).md:6; pages/Flip Book Animation.md:7; pages/Frame rate.md:7; pages/Frame.md:7
practical-fx	Practical FX	8	8	no	pages/Heliodon (Sunlight Simulator).md:7; pages/Helium Balloon Light.md:7; pages/High-Speed Photography.md:10; pages/Homemade Rig (DIY Support).md:9; pages/Hyperspace Wipe (Transition Effect).md:10
timeline-editing	Timeline (Editing)	8	8	no	pages/Insert Edit (Editing).md:11; pages/Key symbol (storyboards).md:11; pages/Keyframe (animation).md:11; pages/Keyframing (digital animation).md:11; pages/L-cut (audio trail).md:11
blender	Blender	7	7	no	pages/Java-based render manager.md:11; pages/Mock-up (previsualization).md:7; pages/Orientation (camera alignment).md:14; pages/Orthographic view (animation___3D).md:9; pages/Output gamma.md:9
camera-angle	Camera Angle	7	7	no	pages/Eyelevel Shot.md:7; pages/False Perspective (Forced Perspective).md:11; pages/Nylon wire (puppet rigging).md:7; pages/Oblique angle (camera).md:9; pages/Perspective (drawing___camera).md:13
dope-sheet	Dope Sheet	7	6	no	pages/Click Track.md:6; pages/Dope Sheet (Exposure Sheet, X-Sheet).md:1; pages/Dope Sheet (Exposure Sheet, X-Sheet).md:5; pages/Exposure Sheet (X-Sheet, Dope Sheet).md:6; pages/Hold Pose.md:16
follow-through	Follow through	7	6	no	pages/Anticipation.md:6; pages/Arc.md:6; pages/Character Animation.md:6; pages/Drag (Animation Principle).md:5; pages/Drag (Animation Principle).md:6
image-sequences	Image Sequences	7	7	no	pages/Editing Suite.md:5; pages/Editing.md:5; pages/Editor’s Cut.md:5; pages/Embedded Metadata (EXIF, IPTC).md:5; pages/Encod­ing (Video Encoding).md:5
noise-digital-sensor	Noise (Digital Sensor)	7	5	no	pages/Film Grain (Texture or Effect).md:7; pages/Film Speed (ISO___ASA).md:5; pages/Film Speed (ISO___ASA).md:7; pages/Frame Averaging.md:7; pages/Gain (Signal___Exposure).md:5
props	Props	7	7	no	pages/Design Bible.md:6; pages/Dresser (Set Dresser).md:6; pages/Dry Brush (Texture Effect).md:6; pages/Epoxy Putty (Puppet Fabrication).md:6; pages/Greensperson (Set Dressing Crew).md:7
video-assist	Video Assist	7	7	no	pages/Horizontal Hold (Video Sync).md:11; pages/JVC (brand).md:11; pages/JVC GY-HD100 (example camera).md:11; pages/JVS connector.md:11; pages/LCD monitor.md:11
workflow	Workflow	7	7	yes	pages/Availability.md:10; pages/Behind the Scenes.md:6; pages/Bin (Editing).md:6; pages/Import (Data___Asset).md:11; pages/Iteration (Creative Process).md:11
blocking	Blocking	6	6	no	pages/Previsualization (previs).md:13; pages/Quadrant (storyboard or screen division).md:13; pages/Screen direction.md:7; pages/Screen left ___ screen right.md:7; pages/Upstage (blocking term).md:18
camera-calibration	Camera Calibration	6	5	no	pages/Geometric Distortion (Lens).md:10; pages/Key stop (aperture marking).md:11; pages/L-mount (Leica___Panasonic lens mount).md:11; pages/Large format camera.md:11; pages/Large format camera.md:41
chroma-key	Chroma key	6	5	no	pages/Blue Screen.md:6; pages/Edge Blend.md:6; pages/Feathering (Mask or Light).md:7; pages/Feathering (Mask or Light).md:11; pages/Mask (compositing).md:9
exposure-sheet-x-sheet	Exposure Sheet (X-Sheet)	6	4	no	pages/Click Track.md:5; pages/Click Track.md:6; pages/Continuity.md:5; pages/Event Cue (Sound ___ Music).md:5; pages/Event Cue (Sound ___ Music).md:6
flag-lighting	Flag (Lighting)	6	6	no	pages/Gobo (Go-Between Object).md:9; pages/Grid (Lighting Accessory).md:7; pages/Light spill.md:11; pages/Lighting stand.md:11; pages/Negative fill (lighting control).md:9
key-pose	Key pose	6	5	no	pages/Blocking (Animation).md:10; pages/Blocking Pass (Rough Animation Pass).md:6; pages/Breakdown Drawing.md:6; pages/Flip Book Animation.md:5; pages/Flip Book Animation.md:7
lens-distortion	Lens Distortion	6	6	no	pages/Kit lens.md:11; pages/Lens adapter.md:11; pages/Lens test chart.md:12; pages/lens.md:12; pages/Quirky lens (toy lens aesthetic).md:7
mood	Mood	6	6	no	pages/Atmosphere.md:10; pages/Chiaroscuro.md:6; pages/Color Script.md:6; pages/Convention (Genre Convention).md:6; pages/Dapple Lighting.md:6
multi-pass-shooting	Multi-pass shooting	6	6	no	pages/Mixed media animation.md:9; pages/Motion control (MoCo).md:6; pages/Narrow angle lens.md:15; pages/Nodal point (lens).md:5; pages/Nodal slide (camera rig).md:6
on-twos	On Twos	6	5	no	pages/Frame Averaging.md:14; pages/Frame Blending.md:7; pages/Frame Blending.md:13; pages/Frame rate.md:7; pages/Frame.md:7
perspective-projection	Perspective Projection	6	5	no	pages/Isometric Projection.md:11; pages/Isometric Projection.md:18; pages/Keystone effect.md:11; pages/Keystoning correction.md:11; pages/Neutral plane (perspective drawing).md:9
previsualization	Previsualization	6	6	no	pages/Animatic.md:6; pages/Board (Storyboards).md:6; pages/Mock-up (previsualization).md:9; pages/Orthographic view (animation___3D).md:6; pages/Pilot (test episode___short).md:13
production-pipeline	Production Pipeline	6	5	no	pages/End Credits.md:6; pages/Episodic Production.md:5; pages/Episodic Production.md:6; pages/EULA (End User License Agreement).md:6; pages/Job sheet (production).md:11
stop-motion-production	Stop-motion production	6	6	no	pages/Pick-up shot.md:13; pages/Pilot (test episode___short).md:13; pages/Post-production.md:13; pages/Quartermaster (prop___wardrobe role, historical).md:13; pages/Quick change (costume___prop).md:13
texture-painting	Texture Painting	6	6	no	pages/Dry Brush (Texture Effect).md:6; pages/Kitbash (model___prop building).md:12; pages/Makeup effects (FX).md:9; pages/Mat (set building material).md:9; pages/Material library (3D ___ VFX).md:9
wire-armature	Wire armature	6	6	no	pages/Armature.md:6; pages/Ball-and-Socket Armature.md:6; pages/Hair Rig (Puppet Rigging).md:10; pages/Iron Armature.md:11; pages/IVC (In-Vitro Capture, Puppet Testing).md:11
zoom	Zoom	6	5	no	pages/Axial Cut.md:6; pages/Camera Move.md:6; pages/Dictionary — Z.md:26; pages/Dolly Zoom.md:5; pages/Dolly Zoom.md:6
2d-animation	2D Animation	5	5	no	pages/Cycle (Animation Cycle).md:5; pages/Dope Sheet (Exposure Sheet, X-Sheet).md:5; pages/model sheet.md:7; pages/Ones (animating on 1s).md:17; pages/Onion skinning.md:6
aliasing	Aliasing	5	4	no	pages/Artifact.md:6; pages/Artifact.md:9; pages/Jaggies (aliasing).md:11; pages/JPG compression artifact.md:11; pages/Nyquist frequency (sampling theory).md:9
animatics	Animatics	5	5	no	pages/Coverage (Film Coverage).md:5; pages/Opening shot.md:7; pages/Outline drawing (storyboard).md:5; pages/Pre-production.md:13; pages/Previsualization (previs).md:13
animation	Animation	5	5	no	pages/Animator.md:6; pages/Animism.md:6; pages/Optical illusion (animation___VFX).md:5; pages/Order of shots (storyboard).md:5; pages/Parallel action (editing).md:6
camera-framing	Camera Framing	5	5	no	pages/Dramatic Irony.md:12; pages/Graticule (Viewfinder Marking).md:7; pages/Guide Frame (Layout Reference).md:7; pages/Right of frame (composition).md:7; pages/Screen direction.md:7
character-design	Character Design	5	5	no	pages/Head Sculpt (Puppet Fabrication).md:10; pages/Model sheet (animation reference).md:7; pages/model sheet.md:9; pages/Quasi-realism (stylistic approach).md:7; pages/Uncanny valley (animation concept).md:18
contrast	Contrast	5	5	no	pages/Afterimage.md:6; pages/Brightness.md:6; pages/Bypass (Bleach Bypass Effect).md:6; pages/S-curve (tone___contrast).md:7; pages/Value (light___dark in composition).md:18
diegetic-sound	Diegetic Sound	5	4	no	pages/Foley Sound.md:7; pages/Non-diegetic sound.md:6; pages/Non-diegetic sound.md:9; pages/Non-synchronous sound.md:9; pages/Offscreen sound.md:9
exposure-sheet	Exposure sheet	5	4	no	pages/Cel Animation.md:6; pages/Numbering (frame count system).md:7; pages/Numbering (frame count system).md:19; pages/Oscilloscope (audio___video analysis).md:9; pages/Pencil test (2D animation).md:6
exr	EXR	5	5	no	pages/ACEScg.md:12; pages/Bit Depth.md:6; pages/Camera Raw.md:6; pages/Offline edit.md:5; pages/Output (render___export).md:5
grip	Grip	5	5	no	pages/Apple Box.md:6; pages/Boom Arm.md:9; pages/Boom Microphone.md:9; pages/Gaffer Tape.md:7; pages/Uprigger (grip role).md:18
interpolation	Interpolation	5	5	no	pages/Bezier Curve.md:6; pages/Clamp (Animation Curve).md:6; pages/Damping (Motion Control).md:6; pages/Ease Curve (Interpolation).md:6; pages/Graph Editor (Animation Curves).md:7
iso	ISO	5	5	no	pages/Aperture.md:6; pages/ASA (Film Speed).md:6; pages/Auto Exposure.md:6; pages/Exposure.md:7; pages/Readout noise (digital sensor).md:7
miniature-set	Miniature Set	5	5	no	pages/Four-Way Wedge (Set Building Tool).md:7; pages/Full-Scale Puppet.md:7; pages/Gauge (Film Gauge ___ Scale Reference).md:9; pages/Greensperson (Set Dressing Crew).md:7; pages/Quicksand effect (practical FX gag).md:7
miniatures	Miniatures	5	5	no	pages/False Perspective (Forced Perspective).md:6; pages/Industrial Light & Magic (ILM).md:10; pages/LIMNMEDIA Stop-Motion Wiki Overview.md:17; pages/Mat (set building material).md:9; pages/Material library (3D ___ VFX).md:9
mixing	Mixing	5	5	no	pages/Crossfade (Audio).md:6; pages/Dialogue Editing.md:12; pages/Jockey (sound mixer role).md:11; pages/Level (sound).md:11; pages/M&E track (music and effects).md:11
multi-pass	Multi-pass	5	5	no	pages/Background Plate.md:6; pages/Camouflage (Rig Paint-Out).md:6; pages/Parallax error (camera alignment).md:5; pages/Parallax.md:6; pages/Rashomon effect (narrative device).md:7
negative-cutting	Negative Cutting	5	5	no	pages/Key number (film edge code).md:11; pages/Lab roll (film processing).md:11; pages/Latent image (photography).md:11; pages/Leader (film strip head___tail).md:11; pages/Linear editing.md:11
nodal-point	Nodal Point	5	3	no	pages/Gimbal.md:17; pages/K-rig (camera rig shorthand).md:11; pages/Rack focus.md:5; pages/Rack focus.md:7; pages/Rack focus.md:18
optical-printing-historical	Optical Printing (Historical)	5	5	no	pages/Hyperspace Wipe (Transition Effect).md:10; pages/In-Camera Effect.md:10; pages/Ink & Paint.md:10; pages/Internegative (Film Term, Historical).md:10; pages/Interpositive (Film Term, Historical).md:10
set-construction	Set Construction	5	5	no	pages/Hollywood Flat (Set Construction).md:7; pages/IBC (Intermediate Bulk Container, Set Use).md:10; pages/Insulation Foam (Set___Puppet Material).md:12; pages/Isometric Projection.md:11; pages/Italian Matte (Painted Backdrop).md:11
smoke-effect	Smoke Effect	5	5	no	pages/Fire Effect (Practical or VFX).md:7; pages/Fog Machine.md:7; pages/FX (Special Effects).md:12; pages/FX Pass (Render Pass).md:7; pages/Gunshot Effect (Practical FX).md:7
sound-recording	sound recording	5	5	no	pages/Patch panel (studio wiring).md:5; pages/Phantom power (microphones).md:12; pages/Quiescent noise (low-level sound floor).md:7; pages/Quiet on set (call).md:7; pages/Radio mic.md:7
squash-and-stretch	Squash and stretch	5	5	no	pages/Anticipation.md:6; pages/Drag (Animation Principle).md:6; pages/Elastic Deformation (Rigging ___ CG).md:7; pages/Elastic Stop-Motion (Experimental Style).md:6; pages/Follow-Through (Animation Principle).md:7
stage	Stage	5	5	no	pages/Apple Box.md:6; pages/Backlot Set.md:6; pages/Closed Set.md:6; pages/Ground Plane (Reference in CG___Set).md:7; pages/Riser (set construction).md:7
synchronization	Synchronization	5	5	no	pages/Genlock (Synchronization).md:7; pages/Marker (slate ___ editing mark).md:9; pages/Score (music for film).md:7; pages/Scratch track (temp audio).md:7; pages/Unison (sound___music sync).md:18
telecine	Telecine	5	5	no	pages/Kinescope (TV recording).md:11; pages/Negative (film).md:9; pages/Newton rings (scanning artifact).md:9; pages/NTSC (video standard).md:10; pages/Numbering (frame count system).md:16
texture-mapping	Texture Mapping	5	5	no	pages/Gradient Map (Texture___Compositing).md:7; pages/Oblique lighting.md:6; pages/Photo-realism (CGI).md:13; pages/Photogrammetry.md:13; pages/Resolution (3D scan).md:7
visual-effects-vfx	Visual Effects (VFX)	5	5	no	pages/CGI (Computer-Generated Imagery).md:6; pages/Double Exposure.md:6; pages/Dynamic Simulation.md:6; pages/Library shot (stock footage).md:11; pages/Match move.md:9
after-effects	After Effects	4	4	no	pages/JavaScript (in VFX tools).md:11; pages/Overlay (graphics___compositing).md:9; pages/Overlay matte.md:10; pages/Plug-in (software add-on).md:13
atmospheric-perspective	Atmospheric Perspective	4	4	no	pages/Fog Machine.md:7; pages/Fog Pass (Depth___Atmosphere).md:7; pages/Gradient.md:7; pages/Landscape shot.md:11
c-stand	C-stand	4	4	no	pages/Boom Arm.md:9; pages/Boom Microphone.md:9; pages/Lighting stand.md:11; pages/Utility stand (lighting___grip).md:18
calibration	Calibration	4	4	no	pages/Back Focus.md:6; pages/Lens cap.md:11; pages/Lens test chart.md:12; pages/Metamerism (color science).md:9
camera-support	Camera Support	4	4	no	pages/Homemade Rig (DIY Support).md:9; pages/Manfrotto (tripod brand).md:9; pages/Pan bar (tripod control).md:3; pages/Rig (puppet___camera support).md:7
color-space	Color space	4	4	no	pages/ACEScg.md:12; pages/Gamut (Color Range).md:7; pages/Gamut Mapping.md:7; pages/Metadata (EXIF___IPTC).md:6
director	Director	4	3	no	pages/Auteur Theory.md:6; pages/Directing Animator.md:5; pages/Directing Animator.md:6; pages/Unit director.md:18
dope-sheet-x-sheet	Dope sheet (X-sheet)	4	3	no	pages/Non-synchronous sound.md:17; pages/Notation (storyboard___score).md:8; pages/Numbering (frame count system).md:6; pages/Numbering (frame count system).md:10
downshooter	Downshooter	4	3	no	pages/Animation Camera.md:6; pages/Animation Stand.md:6; pages/On-axis lighting.md:6; pages/On-axis lighting.md:12
fabrication	Fabrication	4	4	no	pages/Brush Pass (Texture Painting).md:6; pages/Epoxy Putty (Puppet Fabrication).md:6; pages/Interference Pattern (Moire).md:11; pages/Lightbox (animation).md:11
facial-animation	Facial Animation	4	4	no	pages/Expression Control (Rigging___CG).md:11; pages/Eye Blink (Animation Detail).md:6; pages/Lip sync (animation).md:11; pages/Uncanny valley (animation concept).md:18
film	Film	4	4	no	pages/Audiovisual.md:6; pages/Open matte.md:5; pages/Photographic emulsion.md:13; pages/Photographic grain.md:13
flicker	Flicker	4	4	no	pages/Boil (Animation Boil).md:6; pages/Dimmer Board.md:6; pages/Operator (camera role).md:14; pages/Overrun (production delay).md:10
frame-capture	Frame capture	4	4	no	pages/Animation Camera.md:6; pages/Animator.md:6; pages/Capture Card.md:6; pages/Raster (image grid).md:7
horizon-line	Horizon line	4	4	no	pages/Neutral plane (perspective drawing).md:9; pages/Perspective (drawing___camera).md:13; pages/Perspective grid.md:13; pages/Vanishing point (perspective).md:18
keyframe	Keyframe	4	4	no	pages/Clamp (Animation Curve).md:6; pages/Path animation (CGI).md:6; pages/Pencil test (2D animation).md:6; pages/Polish pass (animation refinement).md:13
layout	Layout	4	4	no	pages/Guide Frame (Layout Reference).md:7; pages/Hatch Marks (Shading ___ Layout).md:7; pages/Light table (cel animation).md:11; pages/Lightbox (animation).md:11
low-key-lighting	Low-key lighting	4	4	no	pages/Negative fill (lighting control).md:9; pages/Night-for-night (cinematography).md:9; pages/Noir lighting (chiaroscuro).md:7; pages/Oblique lighting.md:7
playback-animation-review	Playback (Animation Review)	4	4	no	pages/Frame Grabber (Capture Device).md:7; pages/Frame Store.md:7; pages/Freeze Frame.md:7; pages/Genlock (Synchronization).md:7
prop	Prop	4	4	no	pages/Urethane foam (set___prop material).md:18; pages/Utility knife (prop___set tool).md:18; pages/Utility room (studio facility).md:18; pages/Vacuum forming (prop___puppet fabrication).md:19
raw	RAW	4	4	no	pages/Bit Depth.md:6; pages/Bracketed Exposure.md:6; pages/Magic Lantern (Canon firmware add-on).md:10; pages/Negative (film).md:7
raw-format	RAW Format	4	4	no	pages/Dynamic Range.md:6; pages/Exposure Latitude.md:6; pages/Megapixel (digital camera resolution).md:9; pages/Memory card (media storage).md:9
registration	Registration	4	4	no	pages/Anchor Point.md:6; pages/Animation Stand.md:6; pages/Baseline.md:9; pages/Registration pegs (2D___puppet animation).md:7
scale	Scale	4	4	no	pages/Cast Shadow.md:6; pages/Noir lighting (chiaroscuro).md:16; pages/Perspective (drawing___camera).md:13; pages/Rack focus.md:5
scene	Scene	4	4	no	pages/Scene breakdown.md:7; pages/Screenplay.md:7; pages/Unit (production crew division).md:18; pages/Unit list (crew sheet).md:18
stop-motion-aesthetics	Stop-Motion Aesthetics	4	4	no	pages/LIMNMEDIA Stop-Motion Wiki Overview.md:27; pages/Quasi-realism (stylistic approach).md:7; pages/Radial symmetry (design).md:7; pages/Repetition (design principle).md:7
three-point-system	Three-point system	4	4	no	pages/Baseline.md:9; pages/Breathing (Lens Breathing).md:6; pages/Rack focus.md:5; pages/Rule of thirds.md:7
timing-animation	Timing (animation)	4	4	no	pages/Narrative beat (story timing).md:9; pages/Narrative rhythm (editing pace).md:9; pages/Ones (animating on 1s).md:9; pages/Onion skinning.md:7
virtual-production	Virtual production	4	3	no	pages/Dictionary — V.md:28; pages/Fisheye Lens.md:5; pages/Fisheye Lens.md:7; pages/Unity (game___animation engine).md:18
visual-storytelling	Visual storytelling	4	4	no	pages/Dictionary — V.md:35; pages/LIMNMEDIA Stop-Motion Wiki Overview.md:27; pages/Metaphor (film language).md:7; pages/Quotidian imagery (everyday objects in animation).md:7
walk-cycle	Walk Cycle	4	4	no	pages/Cycle (Animation Cycle).md:6; pages/Mexican loop (animation gag).md:7; pages/Panel (storyboard frame).md:10; pages/Quadruped animation (puppet walk cycles).md:7
waveform-monitor	Waveform monitor	4	3	no	pages/Dictionary — W.md:8; pages/Histogram.md:10; pages/Histogram.md:16; pages/Oscilloscope (audio___video analysis).md:15
wide-shot	Wide Shot	4	4	no	pages/Establishing Shot.md:6; pages/Extreme Long Shot (ELS).md:6; pages/Group Shot.md:7; pages/Observation shot.md:9
witness-camera	Witness camera	4	4	no	pages/Beam Splitter.md:6; pages/M-camera (multi-camera setup).md:11; pages/M___E bus (video switcher).md:10; pages/Machine vision (VFX ___ capture).md:12
180-degree-rule	180-degree rule	3	3	no	pages/Action Line.md:6; pages/Axis.md:10; pages/Camera Axis.md:6
