candidate_id	candidate	classification	confidence	references	likely_structural	source_file_count	closest_existing_term	similarity	rationale	sample_locations
dope-sheet	Dope Sheet	ALIAS	high	7	no	6	[[Dope Sheet]] (Exposure Sheet, X-Sheet)	1.00	Aggressive label normalization matches an existing page name.	pages/Click Track.md:6; pages/Dope Sheet (Exposure Sheet, X-Sheet).md:1; pages/Dope Sheet (Exposure Sheet, X-Sheet).md:5; pages/Exposure Sheet (X-Sheet, Dope Sheet).md:6; pages/Hold Pose.md:16
follow-through	Follow through	ALIAS	high	7	no	6	Follow-Through (Animation Principle)	1.00	Aggressive label normalization matches an existing page name.	pages/Anticipation.md:6; pages/Arc.md:6; pages/Character Animation.md:6; pages/Drag (Animation Principle).md:5; pages/Drag (Animation Principle).md:6
noise-digital-sensor	Noise (Digital Sensor)	ALIAS	high	7	no	5	Noise (image/sound)	1.00	Aggressive label normalization matches an existing page name.	pages/Film Grain (Texture or Effect).md:7; pages/Film Speed (ISO___ASA).md:5; pages/Film Speed (ISO___ASA).md:7; pages/Frame Averaging.md:7; pages/Gain (Signal___Exposure).md:5
blocking	Blocking	ALIAS	high	6	no	6	Blocking (Animation)	1.00	Aggressive label normalization matches an existing page name.	pages/Previsualization (previs).md:13; pages/Quadrant (storyboard or screen division).md:13; pages/Screen direction.md:7; pages/Screen left ___ screen right.md:7; pages/Upstage (blocking term).md:18
exposure-sheet-x-sheet	Exposure Sheet (X-Sheet)	ALIAS	high	6	no	4	Exposure Sheet (X-Sheet, Dope Sheet)	1.00	Aggressive label normalization matches an existing page name.	pages/Click Track.md:5; pages/Click Track.md:6; pages/Continuity.md:5; pages/Event Cue (Sound ___ Music).md:5; pages/Event Cue (Sound ___ Music).md:6
previsualization	Previsualization	ALIAS	high	6	no	6	Previsualization (previs)	1.00	Aggressive label normalization matches an existing page name.	pages/Animatic.md:6; pages/Board (Storyboards).md:6; pages/Mock-up (previsualization).md:9; pages/Orthographic view (animation___3D).md:6; pages/Pilot (test episode___short).md:13
exposure-sheet	Exposure sheet	ALIAS	high	5	no	4	Exposure Sheet (X-Sheet, Dope Sheet)	1.00	Aggressive label normalization matches an existing page name.	pages/Cel Animation.md:6; pages/Numbering (frame count system).md:7; pages/Numbering (frame count system).md:19; pages/Oscilloscope (audio___video analysis).md:9; pages/Pencil test (2D animation).md:6
grip	Grip	ALIAS	high	5	no	5	Grip (Crew)	1.00	Aggressive label normalization matches an existing page name.	pages/Apple Box.md:6; pages/Boom Arm.md:9; pages/Boom Microphone.md:9; pages/Gaffer Tape.md:7; pages/Uprigger (grip role).md:18
interpolation	Interpolation	ALIAS	high	5	no	5	Interpolation (Animation Curves)	1.00	Aggressive label normalization matches an existing page name.	pages/Bezier Curve.md:6; pages/Clamp (Animation Curve).md:6; pages/Damping (Motion Control).md:6; pages/Ease Curve (Interpolation).md:6; pages/Graph Editor (Animation Curves).md:7
iso	ISO	ALIAS	high	5	no	5	ISO (Camera Sensitivity)	1.00	Aggressive label normalization matches an existing page name.	pages/Aperture.md:6; pages/ASA (Film Speed).md:6; pages/Auto Exposure.md:6; pages/Exposure.md:7; pages/Readout noise (digital sensor).md:7
nodal-point	Nodal Point	ALIAS	high	5	no	3	Nodal point (lens)	1.00	Aggressive label normalization matches an existing page name.	pages/Gimbal.md:17; pages/K-rig (camera rig shorthand).md:11; pages/Rack focus.md:5; pages/Rack focus.md:7; pages/Rack focus.md:18
dope-sheet-x-sheet	Dope sheet (X-sheet)	ALIAS	high	4	no	3	[[Dope Sheet]] (Exposure Sheet, X-Sheet)	1.00	Aggressive label normalization matches an existing page name.	pages/Non-synchronous sound.md:17; pages/Notation (storyboard___score).md:8; pages/Numbering (frame count system).md:6; pages/Numbering (frame count system).md:10
downshooter	Downshooter	ALIAS	high	4	no	3	Downshooter (Animation Stand)	1.00	Aggressive label normalization matches an existing page name.	pages/Animation Camera.md:6; pages/Animation Stand.md:6; pages/On-axis lighting.md:6; pages/On-axis lighting.md:12
keyframe	Keyframe	ALIAS	high	4	no	4	Keyframe (Animation)	1.00	Aggressive label normalization matches an existing page name.	pages/Clamp (Animation Curve).md:6; pages/Path animation (CGI).md:6; pages/Pencil test (2D animation).md:6; pages/Polish pass (animation refinement).md:13
registration	Registration	ALIAS	high	4	no	4	Registration (animation/film sprockets)	1.00	Aggressive label normalization matches an existing page name.	pages/Anchor Point.md:6; pages/Animation Stand.md:6; pages/Baseline.md:9; pages/Registration pegs (2D___puppet animation).md:7
scene	Scene	ALIAS	high	4	no	4	Scene (script/film unit)	1.00	Aggressive label normalization matches an existing page name.	pages/Scene breakdown.md:7; pages/Screenplay.md:7; pages/Unit (production crew division).md:18; pages/Unit list (crew sheet).md:18
three-point-system	Three-point system	ALIAS	high	4	no	4	Three-point system (TPS)	1.00	Aggressive label normalization matches an existing page name.	pages/Baseline.md:9; pages/Breathing (Lens Breathing).md:6; pages/Rack focus.md:5; pages/Rule of thirds.md:7
timing-animation	Timing (animation)	ALIAS	high	4	no	4	Timing	1.00	Aggressive label normalization matches an existing page name.	pages/Narrative beat (story timing).md:9; pages/Narrative rhythm (editing pace).md:9; pages/Ones (animating on 1s).md:9; pages/Onion skinning.md:7
aperture-f-stop	Aperture (f-stop)	ALIAS	high	3	no	3	Aperture	1.00	Aggressive label normalization matches an existing page name.	pages/Near focus limit (DOF).md:7; pages/Neutral density filter (ND).md:9; pages/Out of focus.md:7
depth-of-field-dof	Depth of field (DOF)	ALIAS	high	3	no	2	Depth of Field	1.00	Aggressive label normalization matches an existing page name.	pages/Near focus limit (DOF).md:3; pages/Near focus limit (DOF).md:9; pages/Objective lens (optics).md:7
diffusion	Diffusion	ALIAS	high	3	no	3	Diffusion (Lighting)	1.00	Aggressive label normalization matches an existing page name.	pages/Bounce Light.md:6; pages/Rag (lighting diffusion).md:7; pages/Reflector (lighting tool).md:7
ease-in-ease-out	Ease In / Ease Out	ALIAS	high	3	no	3	Ease In / Ease Out (Animation Curves)	1.00	Aggressive label normalization matches an existing page name.	pages/Clamp (Animation Curve).md:6; pages/Frame Blending.md:13; pages/Janky animation.md:8
gobo	Gobo	ALIAS	high	3	no	2	Gobo (Go-Between Object)	1.00	Aggressive label normalization matches an existing page name.	pages/Dapple Lighting.md:6; pages/Diffusion (Lighting).md:6; pages/Diffusion (Lighting).md:13
hdri	HDRI	ALIAS	high	3	no	3	HDRI (High Dynamic Range Imaging)	1.00	Aggressive label normalization matches an existing page name.	pages/Dome Lighting.md:6; pages/Fisheye Lens.md:5; pages/Global Illumination (GI).md:7
jpeg	JPEG	ALIAS	high	3	no	3	JPEG (Image Format)	1.00	Aggressive label normalization matches an existing page name.	pages/JPEG2000.md:16; pages/Just noticeable difference (JND).md:9; pages/Output (render___export).md:6
masking	Masking	ALIAS	high	3	no	2	Masking (Set Painting / Exposure)	1.00	Aggressive label normalization matches an existing page name.	pages/Letterboxing.md:11; pages/Letterboxing.md:16; pages/Rotoscoping.md:7
medium-shot	Medium shot	ALIAS	high	3	no	3	Medium Shot (MS)	1.00	Aggressive label normalization matches an existing page name.	pages/Bust Shot.md:6; pages/Head Room (Framing).md:7; pages/Partial model (miniature set).md:9
negative	Negative	ALIAS	high	3	no	3	Negative (film)	1.00	Aggressive label normalization matches an existing page name.	pages/Internegative (Film Term, Historical).md:10; pages/Interpositive (Film Term, Historical).md:10; pages/Photographic emulsion.md:13
nodal-alignment	nodal alignment	ALIAS	high	3	no	3	Nodal alignment (camera move calibration)	1.00	Aggressive label normalization matches an existing page name.	pages/Operator (camera role).md:10; pages/Optical center (lens).md:5; pages/Orientation (camera alignment).md:5
pan	Pan	ALIAS	high	3	no	3	Pan (camera move)	1.00	Aggressive label normalization matches an existing page name.	pages/Camera Move.md:6; pages/Dolly Move.md:13; pages/Pedestal (camera support move).md:6
point-of-view-shot	Point-of-view shot	ALIAS	high	3	no	2	Point of view shot (POV)	1.00	Aggressive label normalization matches an existing page name.	pages/Observation shot.md:7; pages/Observation shot.md:9; pages/Over-the-shoulder shot (OTS).md:14
safe-area	Safe Area	ALIAS	high	3	no	3	Safe area (framing)	1.00	Aggressive label normalization matches an existing page name.	pages/Graticule (Viewfinder Marking).md:7; pages/Guide Frame (Layout Reference).md:7; pages/Underscan.md:18
saturation	Saturation	ALIAS	high	3	no	3	Saturation (color)	1.00	Aggressive label normalization matches an existing page name.	pages/Bypass (Bleach Bypass Effect).md:6; pages/Hue Shift (Color Manipulation).md:10; pages/Hue.md:10
anticipation-animation-principle	Anticipation (Animation Principle)	ALIAS	high	2	no	2	Anticipation	1.00	Aggressive label normalization matches an existing page name.	pages/Follow-Through (Animation Principle).md:7; pages/Hold Pose.md:10
compression	Compression	ALIAS	high	2	no	2	Compression (Video Compression)	1.00	Aggressive label normalization matches an existing page name.	pages/Artifact.md:9; pages/Quicktime (media format).md:7
glass-shot	Glass Shot	ALIAS	high	2	no	2	Glass Shot (Practical Matte Painting)	1.00	Aggressive label normalization matches an existing page name.	pages/Matte painting.md:9; pages/Optical illusion (animation___VFX).md:11
grain	Grain	ALIAS	high	2	no	2	Grain (Film or Digital Noise)	1.00	Aggressive label normalization matches an existing page name.	pages/Bypass (Bleach Bypass Effect).md:6; pages/Emulsion (Film Stock).md:6
graph-editor	Graph editor	ALIAS	high	2	no	2	Graph Editor (Animation Curves)	1.00	Aggressive label normalization matches an existing page name.	pages/Bezier Curve.md:6; pages/Clamp (Animation Curve).md:6
hdr	HDR	ALIAS	high	2	no	2	HDR (High Dynamic Range)	1.00	Aggressive label normalization matches an existing page name.	pages/Bracketed Exposure.md:6; pages/Bulb Exposure.md:9
joint	Joint	ALIAS	high	2	no	2	Joint (Armature)	1.00	Aggressive label normalization matches an existing page name.	pages/Articulation.md:6; pages/Ball-and-Socket Armature.md:6
metadata	Metadata	ALIAS	high	2	no	2	Metadata (EXIF/IPTC)	1.00	Aggressive label normalization matches an existing page name.	pages/Burn-In (Image Burn or Overlay).md:6; pages/Import (Data___Asset).md:11
noise	Noise	ALIAS	high	2	no	2	Noise (image/sound)	1.00	Aggressive label normalization matches an existing page name.	pages/Artifact.md:9; pages/Photographic grain.md:13
noise-floor	Noise floor	ALIAS	high	2	no	2	Noise floor (audio recording)	1.00	Aggressive label normalization matches an existing page name.	pages/Quiescent noise (low-level sound floor).md:7; pages/Readout noise (digital sensor).md:7
ntsc	NTSC	ALIAS	high	2	no	2	NTSC (video standard)	1.00	Aggressive label normalization matches an existing page name.	pages/ATSC Standard.md:6; pages/Broadcast Safe.md:6
pattern	Pattern	ALIAS	high	2	no	2	Pattern (composition)	1.00	Aggressive label normalization matches an existing page name.	pages/Radial symmetry (design).md:7; pages/Repetition (design principle).md:7
rig	Rig	ALIAS	high	2	no	2	Rig (puppet/camera support)	1.00	Aggressive label normalization matches an existing page name.	pages/Anchor Point.md:6; pages/Riser (set construction).md:7
rough-cut	Rough cut	ALIAS	high	2	no	2	Rough cut (editing)	1.00	Aggressive label normalization matches an existing page name.	pages/Offline edit.md:9; pages/Uncut (editing term).md:18
scrim	Scrim	ALIAS	high	2	no	2	Scrim (fixture insert)	1.00	Aggressive label normalization matches an existing page name.	pages/Barn Doors.md:6; pages/Utility stand (lighting___grip).md:18
crossfade	Crossfade	ALIAS	high	1	no	1	Crossfade (Audio)	1.00	Aggressive label normalization matches an existing page name.	pages/Quick dissolve (fast transition).md:7
distortion	Distortion	ALIAS	high	1	no	1	Distortion (Lens)	1.00	Aggressive label normalization matches an existing page name.	pages/Conversion Lens.md:6
edge-light	Edge Light	ALIAS	high	1	no	1	Edge Light (Rim Light)	1.00	Aggressive label normalization matches an existing page name.	pages/Kick light.md:17
embedded-metadata	Embedded metadata	ALIAS	high	1	no	1	Embedded Metadata (EXIF, IPTC)	1.00	Aggressive label normalization matches an existing page name.	pages/Metadata (EXIF___IPTC).md:9
f-stop	F-stop	ALIAS	high	1	no	1	F-stop (Aperture Setting)	1.00	Aggressive label normalization matches an existing page name.	pages/Quarter stop (exposure increment).md:13
field-of-view	Field of view	ALIAS	high	1	no	1	Field of View (FOV)	1.00	Aggressive label normalization matches an existing page name.	pages/Anamorphic Lens.md:6
film-gate	Film Gate	ALIAS	high	1	no	1	Film Gate (Camera Aperture)	1.00	Aggressive label normalization matches an existing page name.	pages/Mag (film magazine).md:9
film-grain	Film grain	ALIAS	high	1	no	1	Film Grain (Texture or Effect)	1.00	Aggressive label normalization matches an existing page name.	pages/Analog.md:6
fixture	Fixture	ALIAS	high	1	no	1	Fixture (Lighting Unit)	1.00	Aggressive label normalization matches an existing page name.	pages/Scrim (lighting).md:7
genlock	Genlock	ALIAS	high	1	no	1	Genlock (Synchronization)	1.00	Aggressive label normalization matches an existing page name.	pages/Horizontal Hold (Video Sync).md:11
hdri-high-dynamic-range-image	HDRI (High Dynamic Range Image)	ALIAS	high	1	no	1	HDRI (High Dynamic Range Imaging)	1.00	Aggressive label normalization matches an existing page name.	pages/HDR (High Dynamic Range).md:10
hinge-joint	Hinge joint	ALIAS	high	1	no	1	Hinge Joint (Armature)	1.00	Aggressive label normalization matches an existing page name.	pages/Neck joint (puppet armature).md:10
in-betweening	In-betweening	ALIAS	high	1	no	1	In-Betweening (Tweening)	1.00	Aggressive label normalization matches an existing page name.	pages/Breakdown Drawing.md:6
interpositive	Interpositive	ALIAS	high	1	no	1	Interpositive (Film Term, Historical)	1.00	Aggressive label normalization matches an existing page name.	pages/Internegative (Film Term, Historical).md:10
jitter-camera-shake	Jitter (Camera Shake)	ALIAS	high	1	no	1	Jitter (Camera / Animation)	1.00	Aggressive label normalization matches an existing page name.	pages/Janky animation.md:17
l-cut	L-Cut	ALIAS	high	1	no	1	L-Cut (Audio Trail)	1.00	Aggressive label normalization matches an existing page name.	pages/J-cut (audio lead-in).md:16
l-cut-audio-trail-out	L-Cut (Audio Trail-Out)	ALIAS	high	1	no	1	L-Cut (Audio Trail)	1.00	Aggressive label normalization matches an existing page name.	pages/J-cut (audio lead-in).md:11
l-cut-storyboard-notation	L-Cut (Storyboard Notation)	ALIAS	high	1	no	1	L-Cut (Audio Trail)	1.00	Aggressive label normalization matches an existing page name.	pages/J-cut storyboard notation.md:11
layer	Layer	ALIAS	high	1	no	1	Layer (Compositing)	1.00	Aggressive label normalization matches an existing page name.	pages/Element (Compositing Element).md:6
light-meter-reflected	Light Meter (Reflected)	ALIAS	high	1	no	1	Light Meter	1.00	Aggressive label normalization matches an existing page name.	pages/Incident Light Meter.md:12
light-table	Light Table	ALIAS	high	1	no	1	Light Table (Cel Animation)	1.00	Aggressive label normalization matches an existing page name.	pages/Lightbox (animation).md:18
line-test	Line test	ALIAS	high	1	no	1	Line Test (Animation)	1.00	Aggressive label normalization matches an existing page name.	pages/Boiling Line (Hand-Drawn Animation Effect).md:8
live-action-plate	live-action plate	ALIAS	high	1	no	1	Live Action Plate (VFX)	1.00	Aggressive label normalization matches an existing page name.	pages/Parallax.md:10
mask	Mask	ALIAS	high	1	no	1	Mask (Compositing)	1.00	Aggressive label normalization matches an existing page name.	pages/Automask.md:6
masking-compositing	Masking (compositing)	ALIAS	high	1	no	1	Masking (Set Painting / Exposure)	1.00	Aggressive label normalization matches an existing page name.	pages/Optical flow (post-production).md:14
nodal-slide	Nodal slide	ALIAS	high	1	no	1	Nodal slide (camera rig)	1.00	Aggressive label normalization matches an existing page name.	pages/Optical center (lens).md:9
noise-digital	Noise (Digital)	ALIAS	high	1	no	1	Noise (image/sound)	1.00	Aggressive label normalization matches an existing page name.	pages/ISO (Camera Sensitivity).md:11
non-parallax-point	Non-parallax point	ALIAS	high	1	no	1	Non-parallax point (lens)	1.00	Aggressive label normalization matches an existing page name.	pages/Optical center (lens).md:7
optical-illusion	Optical illusion	ALIAS	high	1	no	1	Optical illusion (animation/VFX)	1.00	Aggressive label normalization matches an existing page name.	pages/Afterimage.md:6
optical-viewfinder-ovf	Optical Viewfinder (OVF)	ALIAS	high	1	no	1	Optical viewfinder	1.00	Aggressive label normalization matches an existing page name.	pages/Electronic Viewfinder (EVF).md:6
orientation	Orientation	ALIAS	high	1	no	1	Orientation (camera alignment)	1.00	Aggressive label normalization matches an existing page name.	pages/Azimuth.md:6
over-the-shoulder-shot	Over-the-shoulder shot	ALIAS	high	1	no	1	Over-the-shoulder shot (OTS)	1.00	Aggressive label normalization matches an existing page name.	pages/Reverse angle shot.md:7
overcrank	Overcrank	ALIAS	high	1	no	1	Overcrank (slow motion capture)	1.00	Aggressive label normalization matches an existing page name.	pages/Undercrank (fast motion).md:18
overlapping-action	Overlapping Action	ALIAS	high	1	no	1	Overlapping action (animation principle)	1.00	Aggressive label normalization matches an existing page name.	pages/LIMNMEDIA Stop-Motion Wiki Overview.md:14
overlay	Overlay	ALIAS	high	1	no	1	Overlay (graphics/compositing)	1.00	Aggressive label normalization matches an existing page name.	pages/Acetate.md:6
overlay-onion-skin	Overlay (Onion Skin)	ALIAS	high	1	no	1	Overlay (graphics/compositing)	1.00	Aggressive label normalization matches an existing page name.	pages/Graticule (Viewfinder Marking).md:7
perspective	Perspective	ALIAS	high	1	no	1	Perspective (drawing___camera)	1.00	Aggressive label normalization matches an existing page name.	pages/Vanishing point (perspective).md:18
plate-background-plate	Plate (Background Plate)	ALIAS	high	1	no	1	Plate (background plate for VFX)	1.00	Aggressive label normalization matches an existing page name.	pages/Library shot (stock footage).md:11
point-light	Point light	ALIAS	high	1	no	1	Point light (CG___VFX term)	1.00	Aggressive label normalization matches an existing page name.	pages/Quadratic falloff (light physics).md:13
polarizer	Polarizer	ALIAS	high	1	no	1	Polarizer (lens filter)	1.00	Aggressive label normalization matches an existing page name.	pages/Quench light (suppress reflection).md:7
raster	Raster	ALIAS	high	1	no	1	Raster (image grid)	1.00	Aggressive label normalization matches an existing page name.	pages/Resolution (image size).md:7
reflector	Reflector	ALIAS	high	1	no	1	Reflector (lighting tool)	1.00	Aggressive label normalization matches an existing page name.	pages/Gold Reflector.md:7
resonance	Resonance	ALIAS	high	1	no	1	Resonance (sound)	1.00	Aggressive label normalization matches an existing page name.	pages/Overtone (sound design).md:7
restoration	Restoration	ALIAS	high	1	no	1	Restoration (film/digital)	1.00	Aggressive label normalization matches an existing page name.	pages/Artifact.md:9
rig-removal-vfx	Rig Removal (VFX)	ALIAS	high	1	no	1	Rig removal (VFX cleanup)	1.00	Aggressive label normalization matches an existing page name.	pages/Kuroko (black-clad stagehand technique).md:11
score	Score	ALIAS	high	1	no	1	Score (music for film)	1.00	Aggressive label normalization matches an existing page name.	pages/Underscore (music track).md:18
score-film-music	Score (film music)	ALIAS	high	1	no	1	Score (music for film)	1.00	Aggressive label normalization matches an existing page name.	pages/Non-diegetic sound.md:9
slow-motion-overcranking	Slow Motion (Overcranking)	ALIAS	high	1	no	1	Slow motion	1.00	Aggressive label normalization matches an existing page name.	pages/Fast Motion (Undercranking).md:6
value-brightness	Value (Brightness)	ALIAS	high	1	no	1	Value	1.00	Aggressive label normalization matches an existing page name.	pages/Hue.md:10
value-color	Value (color)	ALIAS	high	1	no	1	Value	1.00	Aggressive label normalization matches an existing page name.	pages/Saturation (color).md:7
timecode	Timecode	MERGE/DUPLICATE	medium	16	no	12	Time code	0.94	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Burn-In (Image Burn or Overlay).md:6; pages/Burnt-In Timecode.md:6; pages/Dual-System Sound.md:5; pages/Dual-System Sound.md:6; pages/Genlock (Synchronization).md:7
practical-effects	Practical effects	MERGE/DUPLICATE	medium	15	no	15	Practical effect	0.97	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Bigature.md:6; pages/Cloth Simulation.md:6; pages/Evaporation Effect (Practical FX).md:6; pages/Fire Effect (Practical or VFX).md:7; pages/Fog Machine.md:7
image-sequences	Image Sequences	MERGE/DUPLICATE	medium	7	no	7	Image Sequence	0.97	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Editing Suite.md:5; pages/Editing.md:5; pages/Editor’s Cut.md:5; pages/Embedded Metadata (EXIF, IPTC).md:5; pages/Encod­ing (Video Encoding).md:5
chroma-key	Chroma key	MERGE/DUPLICATE	medium	6	no	5	Chromakey (Chroma Key)	0.95	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Blue Screen.md:6; pages/Edge Blend.md:6; pages/Feathering (Mask or Light).md:7; pages/Feathering (Mask or Light).md:11; pages/Mask (compositing).md:9
animatics	Animatics	MERGE/DUPLICATE	medium	5	no	5	Animatic	0.94	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Coverage (Film Coverage).md:5; pages/Opening shot.md:7; pages/Outline drawing (storyboard).md:5; pages/Pre-production.md:13; pages/Previsualization (previs).md:13
miniatures	Miniatures	MERGE/DUPLICATE	medium	5	no	5	Miniature (practical effects)	0.95	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/False Perspective (Forced Perspective).md:6; pages/Industrial Light & Magic (ILM).md:10; pages/LIMNMEDIA Stop-Motion Wiki Overview.md:17; pages/Mat (set building material).md:9; pages/Material library (3D ___ VFX).md:9
animators	Animators	MERGE/DUPLICATE	medium	3	no	3	Animator	0.94	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Dramatic Irony.md:5; pages/End Credits.md:5; pages/Overhang (set building).md:6
back-light	Back Light	MERGE/DUPLICATE	medium	3	no	2	Backlight	0.95	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Key (lighting).md:11; pages/Kick light.md:11; pages/Kick light.md:17
chroma-key-chroma-keying	Chroma Key (Chroma Keying)	MERGE/DUPLICATE	medium	3	no	2	Chromakey (Chroma Key)	0.95	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Garbage Matte.md:5; pages/Garbage Matte.md:7; pages/Green screen.md:7
dope-sheets	Dope Sheets	MERGE/DUPLICATE	medium	3	no	3	[[Dope Sheet]] (Exposure Sheet, X-Sheet)	0.95	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Directing Animator’s Notes.md:11; pages/In-Betweening (Tweening).md:7; pages/Jump frame.md:18
test-shoot	Test Shoot	MERGE/DUPLICATE	medium	3	no	3	Test shot	0.95	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Line test (animation).md:11; pages/Pilot (test episode___short).md:13; pages/Quick strike (short schedule project).md:7
lighting-diagrams	Lighting Diagrams	MERGE/DUPLICATE	medium	2	no	1	Lighting Diagram	0.97	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/LIMNMEDIA Stop-Motion Wiki Overview.md:12; pages/LIMNMEDIA Stop-Motion Wiki Overview.md:32
camera-moves	Camera moves	MERGE/DUPLICATE	medium	1	no	1	Camera Move	0.96	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Previsualization (previs).md:13
chroma-key-chromakey	Chroma Key (Chromakey)	MERGE/DUPLICATE	medium	1	no	1	Chromakey (Chroma Key)	0.95	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Front projection.md:7
control-points	Control Points	MERGE/DUPLICATE	medium	1	no	1	Control Point	0.96	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Grid Warp (Compositing Tool).md:14
environment-maps	Environment Maps	MERGE/DUPLICATE	medium	1	no	1	Environment Map	0.97	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Equirectangular Projection (360° Images).md:5
event-cues	Event Cues	MERGE/DUPLICATE	medium	1	no	1	Event Cue (Sound / Music)	0.95	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Exposure Sheet (X-Sheet, Dope Sheet).md:5
exposure-sheets-x-sheets	Exposure Sheets (X-Sheets)	MERGE/DUPLICATE	medium	1	no	1	Exposure Sheet (X-Sheet, Dope Sheet)	0.97	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/End Motion (Final Pose).md:13
fixtures-lighting-units	Fixtures (Lighting Units)	MERGE/DUPLICATE	medium	1	no	1	Fixture (Lighting Unit)	0.93	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Gaffer.md:5
focus-pulls	Focus Pulls	MERGE/DUPLICATE	medium	1	no	1	Focus Pull	0.95	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Follow Focus.md:5
hold-frames	Hold Frames	MERGE/DUPLICATE	medium	1	no	1	Hold Frame	0.95	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Dead Frame.md:5
in-camera-effects	In-camera effects	MERGE/DUPLICATE	medium	1	no	1	In-Camera Effect	0.97	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Quadruple exposure (experimental film).md:13
interframe-compression	Interframe Compression	MERGE/DUPLICATE	medium	1	no	1	Intraframe Compression	0.95	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Intraframe Compression.md:11
light-meters	Light Meters	MERGE/DUPLICATE	medium	1	no	1	Light Meter	0.96	Very close lexical match to an existing page; review spelling and parenthetical scope.	pages/Exposure.md:6
